zipcode,count
11205,4439
11234,8181
11355,6313
10461,4714
11230,7099
10472,3458
10473,3006
10475,2669
10011,6480
10016,10386
10019,10186
11204,5411
11219,5571
11416,2288
10301,4088
11233,6981
11432,5458
11215,5845
10458,5595
10025,4667
10036,9714
10065,5846
11354,6824
11413,4818
10306,5652
10035,5190
10128,3823
11373,6099
11364,2058
10312,4356
11357,2226
10462,4258
10463,3841
10465,2728
11208,7464
11212,7260
11221,5666
10012,4752
11203,8885
10022,10275
11385,8206
10466,5565
11226,7927
11420,4633
10455,3432
11213,7015
10018,7076
11368,5737
11249,2549
10001,9341
10027,5192
10028,2819
10032,3601
11228,3095
11201,9530
11235,6257
11378,3963
11434,7781
11417,3463
10454,3739
10305,3796
10013,8424
11358,3390
11206,7030
10024,4000
11220,7333
11214,5322
11210,5616
11377,6470
11422,4269
10031,2975
10308,1804
10452,3776
10003,6081
11207,12919
11231,2736
11101,10552
11369,2937
11412,3184
10469,4882
11421,2748
10010,4737
10457,4647
11372,5472
10460,4549
11236,8329
11209,4210
11211,6487
11429,2218
11414,2018
10453,4028
11379,2778
10307,682
11102,2116
10304,4389
10309,2503
11375,5062
10467,7065
10026,2059
11229,5415
11428,1761
11238,5085
11356,2090
11105,1955
10033,3588
11435,4474
11418,3265
10314,3308
11217,6192
10002,8028
11237,4047
11370,2350
11427,1900
11224,2819
10021,3870
10034,2908
10007,2403
11423,2671
10459,3914
10456,4078
11374,3249
11419,4215
11361,3474
11362,1335
10017,6571
11436,1576
11222,4891
11365,2070
10014,3917
11106,3163
10468,5033
11411,1988
10029,5916
10075,2104
10474,2122
10471,1216
11239,1011
11691,3400
11225,4766
10451,4983
11104,1674
11040,230
11218,5221
11216,6226
10040,1613
10037,1926
11004,1581
11693,909
10470,1994
11367,2752
11223,5942
10039,1245
11433,3446
11415,1352
10464,435
10280,148
10023,4531
10009,3476
10006,905
10038,1899
11697,94
11366,1591
10005,776
10310,2363
11694,1006
10030,2118
11232,3889
11426,1417
11001,307
10000,81
11103,2649
11692,870
10020,473
11363,863
11360,805
11430,92
10004,1349
10302,537
11005,59
10154,1
10169,8
11109,82
10069,168
10171,1
10165,6
10172,10
10123,7
10119,160
10281,44
10282,67
11695,11
10048,50
10121,7
10120,1
10173,1
10106,1
10105,4
10153,5
10155,2
10168,12
10803,4
10170,1
10111,19
11359,9
10303,551
10178,1
10118,5
10278,4
10167,1
10110,3
10103,1
11251,1
10107,1
11242,1
